(-334, 200)
(142, 367)
(-144, -315)
(86, -304)
(350, -27)
(278, 234)
(223, 195)
(72, -371)
(86, -301)
(-255, 334)
(-181, 139)
(18, 303)
(-324, 302)
(66, -227)
(-116, -51)
(201, -184)
(320, -81)
(243, 204)
(-20, 249)
(-297, 185)
(-399, -30)
(154, 390)
(324, 270)
(-353, -286)
(-87, -36)
(-203, 38)
(-393, -16)
(-329, 212)
(-393, -136)
(375, 249)
(373, -289)
(-335, -84)
(-163, -54)
(-71, -341)
(-118, 278)
(-375, 243)
(-328, -358)
(326, 180)
(41, 263)
(138, -295)
(-247, 392)
(-385, 105)
(-103, -381)
(-300, -394)
(97, -96)
(307, 26)
(235, 115)
(-189, 34)
(-14, -305)
(-168, 363)
(40, 163)
(-196, 46)
(330, -382)
(-245, -215)
(-303, 239)
(255, -245)
(-189, -373)
(-373, -152)
(129, 67)
(-239, -235)
