S1 : 0 -> 99 : FROM START TO END
S2 : 19 -> 93 : FROM S1 TO S1
S3 : 48 -> 70 : FROM S2 TO S1
S4 : 90 -> 95 : FROM S2 TO S1
S5 : 19 -> 59 : FROM S1 TO S2
S6 : 57 -> 83 : FROM S3 TO S2
S7 : 43 -> 66 : FROM S5 TO S1
S8 : 70 -> 98 : FROM S6 TO S1
S9 : 47 -> 87 : FROM S5 TO S1
S10 : 9 -> 13 : FROM S1 TO S1
S11 : 82 -> 93 : FROM S8 TO S1
S12 : 84 -> 97 : FROM S11 TO S1
S13 : 50 -> 57 : FROM S7 TO S7
S14 : 89 -> 94 : FROM S12 TO S4
S15 : 2 -> 27 : FROM S1 TO S2
S16 : 35 -> 89 : FROM S1 TO S12
S17 : 38 -> 91 : FROM S16 TO S14
S18 : 34 -> 89 : FROM S5 TO S12
S19 : 78 -> 95 : FROM S6 TO S8
S20 : 4 -> 86 : FROM S1 TO S1
S21 : 89 -> 91 : FROM S12 TO S14
S22 : 62 -> 65 : FROM S6 TO S9
S23 : 29 -> 57 : FROM S20 TO S17
S24 : 74 -> 93 : FROM S16 TO S19
S25 : 25 -> 52 : FROM S1 TO S3
S26 : 78 -> 92 : FROM S6 TO S24
S27 : 89 -> 94 : FROM S12 TO S8
S28 : 86 -> 98 : FROM S19 TO S1
S29 : 91 -> 94 : FROM S4 TO S8
S30 : 3 -> 8 : FROM S1 TO S1
S31 : 90 -> 96 : FROM S24 TO S28
S32 : 76 -> 81 : FROM S8 TO S17
S33 : 6 -> 55 : FROM S30 TO S3
S34 : 74 -> 85 : FROM S1 TO S19
S35 : 21 -> 96 : FROM S1 TO S28
S36 : 46 -> 91 : FROM S5 TO S14
S37 : 52 -> 88 : FROM S20 TO S24
S38 : 93 -> 98 : FROM S27 TO S1
S39 : 92 -> 98 : FROM S14 TO S1
S40 : 25 -> 86 : FROM S1 TO S37
S41 : 89 -> 95 : FROM S11 TO S35
S42 : 83 -> 93 : FROM S26 TO S1
